trade_date,category,buyValue,sellValue,netValue,run_date,source
2026-07-28,DII,18256.88,16592.72,1664.16,2026-07-29,NSE_FII_DII_CASH
2026-07-28,FII/FPI,17530.97,16775.64,755.33,2026-07-29,NSE_FII_DII_CASH
2026-07-29,DII,18176.22,17178.2,998.02,2026-07-29,NSE_FII_DII_CASH
2026-07-29,FII/FPI,17358.31,14376.44,2981.87,2026-07-29,NSE_FII_DII_CASH
2026-07-30,DII,17979.63,19843.66,-1864.03,2026-07-31,NSE_FII_DII_CASH
2026-07-30,FII/FPI,17431.96,13808.45,3623.51,2026-07-31,NSE_FII_DII_CASH
2026-07-31,DII,19885.8,17625.43,2260.37,2026-08-01,NSE_FII_DII_CASH
2026-07-31,FII/FPI,19045.51,18768.03,277.48,2026-08-01,NSE_FII_DII_CASH
2026-08-03,DII,18325.97,16754.79,1571.18,2026-08-03,NSE_FII_DII_CASH
2026-08-03,FII/FPI,12621.89,11699.63,922.26,2026-08-03,NSE_FII_DII_CASH
2026-08-04,DII,15241.39,16177.53,-936.14,2026-08-05,NSE_FII_DII_CASH
2026-08-04,FII/FPI,15630.45,13183.98,2446.47,2026-08-05,NSE_FII_DII_CASH
2026-08-05,DII,19353.43,16470.26,2883.17,2026-08-05,NSE_FII_DII_CASH
2026-08-05,FII/FPI,15940.5,16883.92,-943.42,2026-08-05,NSE_FII_DII_CASH
2026-08-06,DII,19723.68,15710.08,4013.6,2026-08-07,NSE_FII_DII_CASH
2026-08-06,FII/FPI,16161.35,16179.21,-17.86,2026-08-07,NSE_FII_DII_CASH
2026-08-07,DII,15679.58,15444.02,235.56,2026-08-08,NSE_FII_DII_CASH
2026-08-07,FII/FPI,12941.31,12461.07,480.24,2026-08-08,NSE_FII_DII_CASH
2026-08-10,DII,15868.51,17158.8,-1290.29,2026-08-11,NSE_FII_DII_CASH
2026-08-10,FII/FPI,13161.56,11186.8,1974.76,2026-08-11,NSE_FII_DII_CASH
2026-08-11,DII,15006.72,14981.95,24.77,2026-08-12,NSE_FII_DII_CASH
2026-08-11,FII/FPI,14628.47,14369.92,258.55,2026-08-12,NSE_FII_DII_CASH
2026-08-12,DII,21518.55,15676.89,5841.66,2026-08-13,NSE_FII_DII_CASH
2026-08-12,FII/FPI,16584.64,17587.14,-1002.5,2026-08-13,NSE_FII_DII_CASH
2026-08-13,DII,16565.14,12212.05,4353.09,2026-08-14,NSE_FII_DII_CASH
2026-08-13,FII/FPI,14492.46,15003.15,-510.69,2026-08-14,NSE_FII_DII_CASH
2026-08-14,DII,14295.49,13939.09,356.4,2026-08-15,NSE_FII_DII_CASH
2026-08-14,FII/FPI,12854.44,12346.32,508.12,2026-08-15,NSE_FII_DII_CASH
2026-08-18,DII,15566.07,12986.76,2579.31,2026-08-19,NSE_FII_DII_CASH
2026-08-18,FII/FPI,13543.3,11891.77,1651.53,2026-08-19,NSE_FII_DII_CASH
2026-08-19,DII,17288.58,13314.86,3973.72,2026-08-19,NSE_FII_DII_CASH
2026-08-19,FII/FPI,12875.76,12467.77,407.99,2026-08-19,NSE_FII_DII_CASH
2026-08-21,DII,15258.71,13134.57,2124.14,2026-08-21,NSE_FII_DII_CASH
2026-08-21,FII/FPI,12560.91,13103.62,-542.71,2026-08-21,NSE_FII_DII_CASH
